basic_info.cr_no,basic_info.company_name_eng,basic_info.company_name_chi,basic_info.company_type,basic_info.date_of_incorporation,basic_info.status,basic_info.remarks,basic_info.winding_up_mode,basic_info.date_of_dissolution,basic_info.register_of_charges,basic_info.note
0066403,KWONG YEE HING LAND & FINANCE LIMITED,廣裕興地產財務有限公司,Private company limited by shares,19-DEC-1978,Live,,,,Unavailable,
0051758,"CALIFORNIA INSURANCE COMPANY, LIMITED",加洲保險有限公司,Private company limited by shares,25-FEB-1977,Live,,,,Available,
0005345,FAR EAST INTERNATIONAL INVESTMENT AND FINANCE LIMITED,遠東金融(國際)有限公司,Private company limited by shares,12-JAN-1959,Live,,,,Available,
0054194,NAN FUNG FINANCE LIMITED,南豐財務有限公司,Private company limited by shares,08-JUL-1977,Live,,,,Available,
0059001,ADC-CHET FINANCE LIMITED,美國志達財務有限公司,Private company limited by shares,14-MAR-1978,Live,,,,Available,
0007096,FAR EAST REAL ESTATE AND AGENCY (H.K.) LIMITED,遠東物業代理(香港)有限公司,Private company limited by shares,05-OCT-1961,Live,,,,Available,
0029874,PO TUNG LOAN AND LAND INVESTMENT LIMITED,寶通貸款置業有限公司,Private company limited by shares,10-OCT-1972,Live,,,,Available,
0076100,SUPERYIELD FINANCE LIMITED,兆億財務有限公司,Private company limited by shares,07-DEC-1979,Live,,,,Available,
0080313,YIU FUNG FINANCE COMPANY LIMITED,耀豐財務有限公司,Private company limited by shares,28-MAR-1980,Live,,,,Unavailable,
0026651,HONG KONG MORTGAGE & LOAN CORPORATION LIMITED,香港貸款財務有限公司,Private company limited by shares,28-JAN-1972,Live,,,,Available,
0083639,GRAND PACIFIC EQUITY LIMITED,君亞資產管理有限公司,Private company limited by shares,27-JUN-1980,Live,,,,Available,
0032554,VERDER FINANCE COMPANY LIMITED,維大財務有限公司,Private company limited by shares,20-MAR-1973,Live,,,,Unavailable,
0087578,FORTWAY FINANCE LIMITED,匯澤財務有限公司,Private company limited by shares,03-OCT-1980,Live,,,,Unavailable,
0039039,MARUBENI HONG KONG & SOUTH CHINA LIMITED,丸紅香港華南有限公司,Public company limited by shares,22-JUN-1974,Live,,,,Unavailable,
0012849,YU TAI HING COMPANY LIMITED,裕泰興有限公司,Private company limited by shares,01-JUN-1966,Live,,,,Available,
0086141,BEST FORTUNE FINANCE LIMITED,致益財務有限公司,Private company limited by shares,02-SEP-1980,Live,,,,Available,
0095596,KWONG SANG HONG FINANCE COMPANY LIMITED -THE-,廣生行財務有限公司,Private company limited by shares,03-APR-1981,Live,,,,Available,
0043244,KUMAGAI INTERNATIONAL LIMITED,,Private company limited by shares,20-JUN-1975,Live,,,,Available,
0034423,ASIASEC FINANCE LIMITED,亞證財務有限公司,Private company limited by shares,04-JUL-1973,Live,,,,Available,
0030068,SHOWA LEASING ( HONG KONG ) LIMITED,昭和利市有限公司,Private company limited by shares,24-OCT-1972,Live,,,,Unavailable,
0025560,WINTON FINANCIAL LIMITED,運通泰財務有限公司,Private company limited by shares,19-OCT-1971,Live,,,,Available,
0029159,SHENWAN HONGYUAN (H.K.) LIMITED,申萬宏源(香港)有限公司,Public company limited by shares,18-AUG-1972,Live,Listed,,,Available,
0095988,CHUNG KIU FINANCE COMPANY LIMITED,中僑財務有限公司,Private company limited by shares,10-APR-1981,Dissolved,Dissolved by Striking Off,,04-SEP-2009,Unavailable,
0004970,YU FUNG COMPANY LIMITED,(裕豐有限公司),Private company limited by shares,12-DEC-1957,Live,,,,Available,
0033959,FOUNTAIN FINANCE LIMITED,方興財務有限公司,Private company limited by shares,06-JUN-1973,Live,,,,Unavailable,
0032095,TUNG TAI FINANCE LIMITED,東泰財務有限公司,Private company limited by shares,23-FEB-1973,Live,,,,Available,
0023324,ESSMAN CONSTRUCTION COMPANY LIMITED,常安工程有限公司,Private company limited by shares,26-MAR-1971,Live,,,,Unavailable,
0069487,HANG TUNG FINANCE COMPANY LIMITED,亨通財務有限公司,Private company limited by shares,11-MAY-1979,Live,,,,Available,
