basic_info.cr_no,basic_info.company_name_eng,share_capital.issued,share_capital.paid_up
0066403,KWONG YEE HING LAND & FINANCE LIMITED,"HKD 4,000,000","HKD 4,000,000"
0051758,"CALIFORNIA INSURANCE COMPANY, LIMITED","HKD 50,820,000","HKD 50,820,000"
0005345,FAR EAST INTERNATIONAL INVESTMENT AND FINANCE LIMITED,"HKD 300,000","HKD 300,000"
0054194,NAN FUNG FINANCE LIMITED,"HKD 1,000,000","HKD 1,000,000"
0059001,ADC-CHET FINANCE LIMITED,"HKD 5,000,000","HKD 5,000,000"
0007096,FAR EAST REAL ESTATE AND AGENCY (H.K.) LIMITED,"HKD 6,000,000","HKD 6,000,000"
0029874,PO TUNG LOAN AND LAND INVESTMENT LIMITED,"HKD 1,000,000","HKD 1,000,000"
0076100,SUPERYIELD FINANCE LIMITED,"HKD 11,000,000","HKD 11,000,000"
0080313,YIU FUNG FINANCE COMPANY LIMITED,"HKD 60,000","HKD 60,000"
0026651,HONG KONG MORTGAGE & LOAN CORPORATION LIMITED,"HKD 5,000,000","HKD 5,000,000"
0083639,GRAND PACIFIC EQUITY LIMITED,"HKD 25,000,000","HKD 25,000,000"
0032554,VERDER FINANCE COMPANY LIMITED,"HKD 5,000,000","HKD 5,000,000"
0087578,FORTWAY FINANCE LIMITED,"HKD 4,000,000","HKD 4,000,000"
0039039,MARUBENI HONG KONG & SOUTH CHINA LIMITED,"HKD 204,340,856","HKD 204,340,856"
0012849,YU TAI HING COMPANY LIMITED,"HKD 150,000,000","HKD 150,000,000"
0086141,BEST FORTUNE FINANCE LIMITED,"HKD 10,000","HKD 10,000"
0095596,KWONG SANG HONG FINANCE COMPANY LIMITED -THE-,"HKD 10,000,000","HKD 10,000,000"
0043244,KUMAGAI INTERNATIONAL LIMITED,"HKD 100,000,000","HKD 100,000,000"
0034423,ASIASEC FINANCE LIMITED,"HKD 10,000","HKD 10,000"
0030068,SHOWA LEASING ( HONG KONG ) LIMITED,"HKD 31,112,000","HKD 31,112,000"
0025560,WINTON FINANCIAL LIMITED,"HKD 4,000,010","HKD 4,000,010"
0029159,SHENWAN HONGYUAN (H.K.) LIMITED,"HKD 1,200,457,266.73","HKD 1,200,457,266.73"
0095988,CHUNG KIU FINANCE COMPANY LIMITED,HKD 200,HKD 200
0004970,YU FUNG COMPANY LIMITED,"HKD 8,400,000","HKD 8,400,000"
0033959,FOUNTAIN FINANCE LIMITED,"HKD 1,434,000","HKD 1,434,000"
0032095,TUNG TAI FINANCE LIMITED,"HKD 126,800,000","HKD 126,800,000"
0023324,ESSMAN CONSTRUCTION COMPANY LIMITED,"HKD 30,000","HKD 30,000"
0069487,HANG TUNG FINANCE COMPANY LIMITED,"HKD 10,000","HKD 10,000"
